Instructor ID,Course ID,Semester,Year,Broader,Level,Size,Layout,L,Ind,CG,WG,OG,S_Anq,SQ,WC,PRD,SP,TQ,S_W,S_O,Lec,RTW,FUP,T_PQ,CQ,T_ANQ,MG,ONE_O_ONE,DV,ADMIN,T_W,T_O,Cluster,Bcluster
381,514,pre,NA,Engineering,100,Small,Fixed,100,27.3,0,0,0,4.5,0,0,0,0,0,0,0,100,4.6,0,4.6,27.3,0,0,0,0,13.6,0,0,2,Mostly lecture
381,514,pre,NA,Engineering,100,Small,Fixed,96,8,12,0,12,8,4,0,0,0,0,0,0,80,0,8,20,16,4,8,8,0,16,24,0,4,Transitioning
383,515,pre,NA,Chemical,300,Medium,Fixed,54.3,0,0,0,67.4,37,8.7,0,0,0,0,0,2.2,2.2,0,52.2,43.5,0,10.9,19.6,19.6,0,4.4,60.9,2.2,3,Transitioning
383,515,pre,NA,Chemical,300,Medium,Fixed,100,0,0,0,2.6,23.7,21.1,0,0,0,0,0,0,92.1,5.3,7.9,34.2,0,21.1,0,2.6,0,5.3,2.6,0,3,Transitioning
383,578,post,NA,Chemical,300,Large,Fixed,96.6,0,0,0,0,27.6,3.4,0,0,0,0,0,6.9,89.7,0,0,27.6,0,3.4,0,0,0,6.9,0,10.3,1,Mostly lecture
383,578,post,NA,Chemical,300,Large,Fixed,91.9,0,0,0,10.8,24.3,8.1,0,0,0,0,0,2.7,81.1,13.5,13.5,24.3,0,8.1,5.4,0,0,2.7,8.1,2.7,3,Transitioning
385,516,pre,NA,Biological,100,Small,Table,100,0,0,0,17.4,26.1,13,0,0,0,0,0,0,91.3,0,17.4,30.4,0,13,0,0,0,8.7,17.4,0,3,Transitioning
385,516,pre,NA,Biological,100,Small,Table,83.3,0,0,0,20.8,12.5,12.5,0,0,0,0,0,0,75,0,8.3,16.7,0,12.5,8.3,12.5,0,8.3,16.7,0,3,Transitioning
385,517,post,NA,Biological,100,Small,Table,84.6,0,0,0,3.8,15.4,26.9,0,0,0,23.1,3.8,0,65.4,0,11.5,19.2,0,19.2,0,0,0,19.2,26.9,0,3,Transitioning
385,517,post,NA,Biological,100,Large,Fixed,100,0,0,0,0,4.3,0,0,0,0,0,0,0,95.7,0,0,8.7,0,0,0,0,0,8.7,0,0,1,Mostly lecture
385,517,post,NA,Biological,100,Large,Fixed,92,0,16,0,16,20,0,0,0,0,0,0,12,56,0,28,24,16,0,0,0,0,8,32,12,4,Transitioning
387,518,pre,NA,Biological,100,Large,Fixed,95.8,4.2,50,0,0,4.2,0,0,0,0,0,12.5,0,58.3,0,41.7,8.3,50,0,0,0,0,8.3,54.2,0,2,Mostly lecture
387,518,pre,NA,Biological,100,Large,Fixed,100,0,16.7,0,0,12.5,16.7,0,0,0,0,12.5,0,70.8,0,20.8,20.8,8.3,20.8,0,0,0,4.2,12.5,8.3,2,Mostly lecture
