deid,subject,final_grade_percent,final_grade_letter,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,age,gender
9051290,eeb,72.42,C,3,5,3,3,3,4,3,NA,4,3,23,Male
9578058,biol,82.96,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,Female
102937,biol,82.87576,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,Female
9845335,phys,NA,NA,4,4,3,5,3,4,4,NA,4,5,21,Female
9706622,csci,93.16,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female
100839,biol,90.88,A,4,4,4,4,3,NA,4,4,4,3,19,Female
9595876,biol,57.4,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,Male
9552640,biol,68.68,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,Male
100502,biol,92.98523,A,3,3,2,4,3,3,4,4,4,3,18,Female
100813,biol,91.49,A,5,5,3,4,4,NA,3,4,5,4,18,Male
100854,biol,82.44,B,3,3,2,3,3,3,4,3,4,4,19,Female
102379,biol,93.1,A,5,5,5,5,5,5,5,5,5,5,NA,Female
9582783,phys,75.12,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Male
100534,biol,87.04154,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
102324,biol,72.4,C,2,2,1,2,4,1,2,3,3,2,NA,Female
9518862,biol,77.08,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,Female
102417,biol,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9431561,biol,91.15,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,Female
9670623,biol,83.58,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,Female
9777588,biol,75.16,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,Female
100002,biol,62,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female
9803740,phys,77.26,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Male
9827749,chem,68.72,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,Male
9566895,biol,83.66,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,Male
9566686,phys,95.02,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female
9560688,eeb,96.23,A,5,5,4,4,5,5,5,NA,5,5,19,Female
9678889,biol,88.15,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,Female
9382751,biol,32.62,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,Female
9156987,biol,90.69,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,Male
9207965,biol,30.21,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,Male
9598253,biol,84.16,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,Female
9285083,phys,53.97,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female
9516524,biol,95.54,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,Male
102890,biol,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100969,biol,93,A,5,5,5,5,5,4,4,5,5,5,18,Female
100857,biol,75.24,C,3,4,1,2,3,3,5,4,3,3,21,Female
101161,biol,52,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8840555,biol,79.99,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,Male
9198515,phys,51.42,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female
102836,biol,91.76784,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9721827,biol,83.31,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,Male
101256,biol,94,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9409409,biol,82.43,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,Female
9593706,biol,93.26,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,Female
9800810,phys,NA,NA,5,5,5,5,5,5,5,NA,5,5,19,Male
9855651,csci,54.59,F,3,2,2,4,3,3,3,NA,3,3,23,Female
9735377,phys,47.79,F,3,3,3,3,4,3,4,NA,3,2,18,Male
100618,biol,90.2365,A,3,4,3,3,4,3,4,3,4,4,19,Male
100573,biol,65.0209,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
102680,biol,90,A,4,4,4,3,4,4,4,4,4,4,27,Female
100497,biol,84.49334,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,csci,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,Male
9775292,csci,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9761057,biol,94.76,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,Female
9822714,phys,NA,NA,3,3,2,2,3,4,3,NA,3,4,19,Female
101989,biol,80.1,B,3,2,4,3,3,4,3,3,3,3,21,Male
101299,biol,98.659,A,4,4,3,3,4,4,3,4,4,4,19,Female
9823124,phys,68.15,D,3,3,3,3,3,3,3,NA,3,3,19,Female
100563,biol,95.86536,A,5,5,4,4,5,5,4,4,5,5,21,Male
9600556,phys,66.68,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Male
101092,biol,83,B,2,2,1,1,3,2,2,2,3,3,18,Female
